"County Code","County","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"16027","Canyon County, ID",".",".",".",".",".",".",".",".",".","45","10.3","94","20","."
"16029","Caribou County, ID",".",".",".",".",".",".","34","8","2",".",".",".",".","."
"16041","Franklin County, ID",".",".",".",".",".",".",".",".",".","38","8.1",".",".","."
"16049","Idaho County, ID",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"16059","Lemhi County, ID",".",".",".",".",".",".",".",".",".","60","13.2",".",".","."
"16079","Shoshone County, ID",".",".",".",".",".",".",".",".",".","50","14.2","149","16","."
"17001","Adams County, IL",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"17019","Champaign County, IL",".","0.3",".",".","0.07","0.067","4","1","0","17","7.4",".",".","."
"17023","Clark County, IL",".",".",".",".","0.07","0.067",".",".",".",".",".",".",".","."
"17031","Cook County, IL","1","0.6","55","16","0.1","0.078","12","4","1","24","10.3","38","16","0.02"
"17043","DuPage County, IL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"17049","Effingham County, IL",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"17065","Hamilton County, IL",".",".",".",".","0.07","0.064",".",".",".","16","8.7",".",".","."
"17085","Jo Daviess County, IL",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"17089","Kane County, IL",".",".",".",".","0.08","0.069",".",".",".","22","8",".",".","."
"17097","Lake County, IL",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"17099","La Salle County, IL",".",".",".",".",".",".","13","5","1",".",".",".",".","."
"17111","McHenry County, IL",".",".",".",".","0.08","0.07",".",".",".","17","7.2",".",".","."
"17113","McLean County, IL",".",".",".",".","0.07","0.064",".",".",".","19","8.8",".",".","."
"17115","Macon County, IL",".",".",".",".","0.08","0.068","77","30","3",".",".",".",".","0.04"
"17117","Macoupin County, IL",".",".",".",".","0.07","0.066","4","1","0",".",".",".",".","."
"17119","Madison County, IL",".",".",".",".","0.1","0.074","11","3","1","21","9.4","60","25","0.03"
"17133","Monroe County, IL",".",".",".",".",".",".","20","4","1",".",".",".",".","."
"17143","Peoria County, IL",".",".",".",".","0.08","0.066","19","4","1",".",".",".",".","."
"17157","Randolph County, IL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"17161","Rock Island County, IL",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"17163","Saint Clair County, IL","2","1.2","36","9","0.08","0.067","9","3","1","18","8.8",".",".","."
"17167","Sangamon County, IL",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"17185","Wabash County, IL",".",".",".",".",".",".","32","6","1",".",".",".",".","."
"17197","Will County, IL",".",".",".",".","0.08","0.068",".",".",".","20","8.7",".",".","."
"17201","Winnebago County, IL",".",".",".",".","0.07","0.064",".",".",".","17","8.1",".",".","."
"18003","Allen County, IN",".",".",".",".","0.07","0.064",".",".",".","20","8.2",".",".","."
"18005","Bartholomew County, IN",".",".",".",".","0.07","0.064",".",".",".","16","7.6",".",".","."
"18011","Boone County, IN",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"18013","Brown County, IN",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"18015","Carroll County, IN",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"18019","Clark County, IN",".",".",".",".","0.08","0.068",".",".",".","19","8.7","30","15","."
"18027","Daviess County, IN",".",".",".",".",".",".","16","10","3",".",".",".",".","."
"18035","Delaware County, IN",".",".",".",".","0.07","0.063",".",".",".","16","7.7",".",".","0.04"
"18037","Dubois County, IN",".",".",".",".",".",".",".",".",".","18","8.3","25","14","."
"18039","Elkhart County, IN",".",".",".",".","0.08","0.064",".",".",".","23","8.5",".",".","."
"18043","Floyd County, IN",".",".",".",".","0.08","0.074","8","4","1","18","8.9",".",".","."
"18051","Gibson County, IN",".",".",".",".",".",".","48","11","2",".",".",".",".","."
"18055","Greene County, IN",".",".",".",".","0.08","0.067",".",".",".","16","7.7",".",".","."
"18057","Hamilton County, IN",".",".",".",".","0.08","0.069",".",".",".","18","7.7",".",".","."
"18063","Hendricks County, IN",".",".",".",".","0.07","0.067",".",".",".",".",".",".",".","."
"18065","Henry County, IN",".",".",".",".",".",".",".",".",".","15","7.2",".",".","."
"18067","Howard County, IN",".",".",".",".",".",".",".",".",".","19","8.4",".",".","."
"18069","Huntington County, IN",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
